,name1,name2,n_edges,log1p_weight
0,中務,光源氏,191,5.2574953720277815
1,光源氏,玉鬘,114,4.74493212836325
2,光源氏,右近,53,3.9889840465642745
3,光源氏,小君,46,3.8501476017100584
4,光源氏,花散里,39,3.6888794541139363
5,光源氏,夕顔,36,3.6109179126442243
6,光源氏,大蔵,28,3.367295829986474
7,光源氏,空蝉,24,3.2188758248682006
8,中務,玉鬘,20,3.044522437723423
9,中務,薫,17,2.8903717578961645
10,浮舟,薫,15,2.772588722239781
11,光源氏,大宮,14,2.70805020110221
12,光源氏,紀伊守,13,2.639057329615259
13,薫,阿闍梨,13,2.639057329615259
14,光源氏,楊貴,12,2.5649493574615367
15,右近,夕顔,10,2.3978952727983707
16,右近,浮舟,10,2.3978952727983707
17,夕霧,小野の妹尼,8,2.1972245773362196
18,光源氏,朧月夜,8,2.1972245773362196
19,匂宮,薫,7,2.0794415416798357
20,光源氏,関白,7,2.0794415416798357
21,中務,大蔵,6,1.9459101490553132
22,小君,空蝉,6,1.9459101490553132
23,光源氏,大輔の命婦,6,1.9459101490553132
24,大蔵,薫,6,1.9459101490553132
25,中務,浮舟,5,1.791759469228055
26,中務,右近,5,1.791759469228055
27,右近,玉鬘,5,1.791759469228055
28,中務,花散里,5,1.791759469228055
29,中務,楊貴,4,1.6094379124341003
30,大蔵,柏木,4,1.6094379124341003
31,小野の妹尼,薫,4,1.6094379124341003
32,中務,小野の妹尼,4,1.6094379124341003
33,朧月夜,浮舟,3,1.3862943611198906
34,夕霧,大蔵,3,1.3862943611198906
35,大蔵,紅梅,3,1.3862943611198906
36,大蔵,玉鬘,3,1.3862943611198906
37,右近,薫,3,1.3862943611198906
38,光源氏,阿闍梨,3,1.3862943611198906
39,光源氏,薫,3,1.3862943611198906
40,光源氏,常陸介,3,1.3862943611198906
41,匂宮,大蔵,2,1.0986122886681096
42,中務,阿闍梨,2,1.0986122886681096
43,柏木,薫,2,1.0986122886681096
44,小君,紀伊守,2,1.0986122886681096
45,夕霧,薫,2,1.0986122886681096
46,中務,常陸介,2,1.0986122886681096
47,浮舟,阿闍梨,2,1.0986122886681096
48,匂宮,夕霧,2,1.0986122886681096
49,玉鬘,薫,2,1.0986122886681096
50,右近,大輔の命婦,2,1.0986122886681096
51,光源氏,夕霧,1,0.6931471805599453
52,小君,関白,1,0.6931471805599453
53,小野の妹尼,浮舟,1,0.6931471805599453
54,小野の妹尼,花散里,1,0.6931471805599453
55,楊貴,玉鬘,1,0.6931471805599453
56,常陸介,空蝉,1,0.6931471805599453
57,常陸介,関白,1,0.6931471805599453
58,中務,紅梅,1,0.6931471805599453
59,大輔の命婦,薫,1,0.6931471805599453
60,浮舟,紀伊守,1,0.6931471805599453
61,浮舟,紅梅,1,0.6931471805599453
62,玉鬘,花散里,1,0.6931471805599453
63,紅梅,薫,1,0.6931471805599453
64,小君,小野の妹尼,1,0.6931471805599453
65,光源氏,浮舟,1,0.6931471805599453
66,大輔の命婦,空蝉,1,0.6931471805599453
67,大蔵,紀伊守,1,0.6931471805599453
68,中務,匂宮,1,0.6931471805599453
69,中務,夕霧,1,0.6931471805599453
70,光源氏,紅梅,1,0.6931471805599453
71,夕霧,柏木,1,0.6931471805599453
72,夕霧,浮舟,1,0.6931471805599453
73,夕霧,玉鬘,1,0.6931471805599453
74,中務,関白,1,0.6931471805599453
75,夕顔,玉鬘,1,0.6931471805599453
76,夕顔,空蝉,1,0.6931471805599453
77,大宮,玉鬘,1,0.6931471805599453
78,大宮,花散里,1,0.6931471805599453
79,大蔵,大輔の命婦,1,0.6931471805599453
80,大蔵,小野の妹尼,1,0.6931471805599453
81,中務,大宮,1,0.6931471805599453
82,大蔵,楊貴,1,0.6931471805599453
83,中務,大輔の命婦,1,0.6931471805599453
84,大蔵,空蝉,1,0.6931471805599453
85,夕顔,大蔵,1,0.6931471805599453
